Title: The Catalina Surveys Periodic Variable Star Catalog 
Authors: Drake A.J., Graham M.J., Djorgovski S.G., Catelan M., Mahabal A.A., 
         Torrealba .G., Garcia-Alvarez D., Donalek C., Prieto J.L., Williams R.,
         Larson S., Christensen E., Belokurov V., Koposov S.E., Beshore E., 
         Boattini A., Gibbs A., Hill .R., Kowalski R., Johnson J., Shelly F. 
Table: Periodic Variable Catalog
================================================================================
Byte-by-byte Description of file: apjs496324t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label   Explanations
--------------------------------------------------------------------------------
   1- 20 A20    ---      CSS     Catalina Sky Survey identifier
  22- 23 I2     h        RAh     Hour of Right Ascension (J2000) 
  25- 26 I2     min      RAm     Minute of Right Ascension (J2000) 
  28- 32 F5.2   s        RAs     Second of Right Ascension (J2000) 
      34 A1     ---      DE-     Sign of the Declination (J2000)
  35- 36 I2     deg      DEd     Degree of Declination (J2000) 
  38- 39 I2     arcmin   DEm     Arcminute of Declination (J2000) 
  41- 44 F4.1   arcsec   DEs     Arcsecond of Declination (J2000) 
  46- 50 F5.2   mag      <Vmag>  Average V band magnitude from AFD
  52- 62 F11.7  d        PF      ? Period
  64- 68 F5.2   mag      AV      Amplitude from AFD
  70- 71 I2     ---      Class   Numerical class based on Table 2
      73 A1     ---    f_Class   Flag on Class (1)
--------------------------------------------------------------------------------
Note (1): 
    a = Period is inexact based on light curve inspection. 
    b = An object exhibiting baseline variation due to spots. 
CSS_J001616.0-173612 00 16 16.00 -17 36 12.4 13.87 215.564      1.17 13 
CSS_J001617.2+111703 00 16 17.26 +11 17 03.4 16.76   0.471048   0.29  1 
CSS_J001619.6-135838 00 16 19.69 -13 58 38.8 14.42   0.372212   0.25  1 
CSS_J001623.5-032853 00 16 23.55 -03 28 53.8 14.98   0.340538   0.35  1 
CSS_J001625.7+215826 00 16 25.70 +21 58 26.2 15.62   0.264028   0.20  1 
CSS_J001625.9+162843 00 16 25.98 +16 28 43.2 15.75   0.366505   0.44  5 
CSS_J001627.0+264107 00 16 27.06 +26 41 07.6 14.46   0.259764   0.51  1 
CSS_J001630.4-154715 00 16 30.47 -15 47 15.9 15.23   0.222465   0.09  1 
CSS_J001632.5+310630 00 16 32.50 +31 06 30.2 17.80   0.3475834  0.47  5 
CSS_J001636.3+325841 00 16 36.31 +32 58 41.5 16.53   0.27744    0.14  1 
CSS_J001638.9+064436 00 16 38.99 +06 44 36.3 14.35   0.293182   0.33  1 
CSS_J001643.9-153111 00 16 43.93 -15 31 11.4 17.02   0.260576   0.38  1 
CSS_J001650.0+434455 00 16 50.09 +43 44 55.9 13.38   0.520412   0.35  1 
CSS_J001654.2+401638 00 16 54.20 +40 16 38.1 15.61   0.264335   0.39  1 
CSS_J001658.9-160435 00 16 58.96 -16 04 35.8 17.54   0.6348115  0.35  4 
CSS_J001659.5-153136 00 16 59.54 -15 31 36.5 17.04   0.2841328  0.53  5 
CSS_J001700.9+340313 00 17 00.97 +34 03 13.6 13.92   0.254699   0.15  5 
CSS_J001701.6+165938 00 17 01.63 +16 59 38.8 12.96   0.376966   0.41  1 
CSS_J001706.7+114246 00 17 06.73 +11 42 46.6 17.78   0.300636   0.40  5 
CSS_J001711.5+061009 00 17 11.58 +06 10 09.3 15.22   0.278806   0.35  1 
CSS_J001714.8+283103 00 17 14.83 +28 31 03.9 17.72   3.3224     1.55  2 d  
CSS_J001719.6-061245 00 17 19.61 -06 12 45.6 13.57   0.271898   0.19  1 
CSS_J001721.6-122325 00 17 21.60 -12 23 25.9 14.62   0.384074   0.53  1 
CSS_J001721.8+205433 00 17 21.86 +20 54 33.9 18.08   0.237478   0.30  1 
CSS_J001724.9+200542 00 17 24.90 +20 05 42.2 16.64   0.3571291  0.39  6 
CSS_J001733.0-084605 00 17 33.00 -08 46 05.5 15.67   0.2897977  0.47  5 
CSS_J001734.0-073235 00 17 34.03 -07 32 35.7 19.44   0.5482467  1.01  4 
CSS_J001736.6+205147 00 17 36.65 +20 51 47.0 14.53   0.447144   0.17  1 
CSS_J001738.4+205157 00 17 38.43 +20 51 57.7 13.77   0.274534   0.11  1 
CSS_J001745.5+241845 00 17 45.55 +24 18 45.1 14.34   0.301392   0.31  1 
CSS_J001745.6+214913 00 17 45.64 +21 49 13.8 17.45   0.279544   0.36  1 
